id,officers,rank,date,note
1,"Mirza Salahuddin, BPAA, PPM",Additional Deputy Police Commissioner,08/06/2024,
2,"Mohammad Harun Or Rashid, BPM-Bar, PPM-Bar",Additional Police Commissioner,08/06/2024,
3,Mofizur Rahman Palash,Assistant Police Commissioner,08/06/2024,
4,"Rifat Rahman Shamim, PPM",Deputy Police Commissioner,08/06/2024,
5,"Kazi Ashraful Azim, PPM",Deputy Police Commissioner,08/06/2024,
6,"Biplab Kumar Sarkar, BPM-Bar, PPM",Joint Police Commissioner,08/06/2024,
7,"SM Mehedi Hasan, BPM-Bar, PPM-Bar",Joint Police Commissioner,08/06/2024,
8,"Sanjit Kumar Roy, BPM-Seba, PPM-Seba",Joint Police Commissioner,08/06/2024,
9,"Mohammad Zaidul Alam, PPM-Bar",Joint Police Commissioner,08/06/2024,
10,"Habibur Rahman, BPM (Bar), PPM (Bar)",Police Commissioner,08/06/2024,
11,"S.M. Jahangir Hasan, BPM-Bar, PPM",Additional Deputy Police Commissioner,10/08/2024,On leave and then absconded
12,"Md. Tauhidul Islam, BPM-Bar",Additional Deputy Police Commissioner,09/10/2024,
13,"Rajib Das, PPM-Seba",Additional Deputy Police Commissioner,10/10/2024,On leave and then absconded
14,Golam Ruhani,Assistant Police Commissioner,08/11/2024,
15,Rashedul Islam,Additional Deputy Police Commissioner,02/09/2025,
16,"Md. Rahmat Ullah Chowdhury, BPM (Bar)",Additional Deputy Police Commissioner,02/10/2025,
17,Hasanuzzaman Molla,Additional Deputy Police Commissioner,02/12/2025,
18,Shah Md. Akhtarul Islam,Additional Deputy Police Commissioner,1/26/2025,
19,Mohammad Imrul,Assistant Police Commissioner,1/28/2025,
20,Rubayat Zaman,Additional Deputy Police Commissioner,1/29/2025,
21,"Manas Kumar Poddar, PPM-Bar",Deputy Police Commissioner,10/18/2024,
22,"Hasan Arafat, BPM, PPM-Seba",Additional Deputy Police Commissioner,10/19/2024,
23,"Mishu Biswas, PPM-Seba",Additional Deputy Police Commissioner,10/26/2024,
24,Md. Masudur Rahman Monir,Additional Deputy Police Commissioner,11/13/2024,
25,Iftekhairul Islam,Additional Deputy Police Commissioner,2/16/2025,
26,Md. Rawshanul Haque Saikat,Additional Deputy Police Commissioner,8/25/2024,
27,"Mohammad Iqbal Hossain, BPM-Seba",Deputy Police Commissioner,8/28/2024,
28,S.M. Shamim,Additional Deputy Police Commissioner,9/18/2024,
29,S. M. Shamim,Additional Deputy Police Commissioner,9/18/2024,
