id,date,rank,destination,status,rank_level,destination_cluster
1,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
2,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
3,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
4,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
5,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
6,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
7,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
8,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
9,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
10,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
11,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
12,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
13,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
14,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
15,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
16,"August 13, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
17,"August 27, 2024",Additional Commisioner,Industrial police,transferred,High,Specialized Operational Units
18,"August 27, 2024",Additional Commisioner,Tourist Police,transferred,High,Specialized Operational Units
19,"August 27, 2024",Additional Commisioner,APBn,transferred,High,Specialized Operational Units
20,"September 1, 2024",Additional Commisioner,APBn,transferred,High,Specialized Operational Units
21,"September 8, 2024",Joint Commissioner,Range Office,transferred,High,Central & Regional Administration
22,"September 19, 2024",Joint Commissioner,APBn,transferred,High,Specialized Operational Units
23,"September 19, 2024",Joint Commissioner,PTC,transferred,High,Training & Development
24,"September 19, 2024",Joint Commissioner,PTC,transferred,High,Training & Development
25,"September 19, 2024",Joint Commissioner,APBn,transferred,High,Specialized Operational Units
26,"November 11, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
27,"November 11, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
28,"November 11, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
29,"November 11, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
30,"November 11, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
31,"November 11, 2024",DC,Range Office,transferred,Low,Central & Regional Administration
32,"March 23, 2025",DC,Range Office,transferred,Low,Central & Regional Administration
33,"August 17, 2024",ADC,In service training centre,transferred,Low,Training & Development
34,"August 17, 2024",ADC,In service training centre,transferred,Low,Training & Development
35,"August 17, 2024",ADC,APBn,transferred,Low,Specialized Operational Units
36,"August 17, 2024",ADC,APBn,transferred,Low,Specialized Operational Units
37,"August 17, 2024",ADC,BPA,transferred,Low,Training & Development
38,"August 17, 2024",ADC,Navy Police,transferred,Low,Specialized Operational Units
