id,thana,lat,lon,case_no,date,serial,total_amo,t56,rubber_cartridge,rubber_cartridge1,tear_gas_grenade,baton_rounds,lethal,non_lethal,shotgun_shell
1,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,1,39,0,0,0,39,0,0,39,0
2,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,2,56,0,39,17,0,0,39,17,0
3,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,3,37,0,0,0,37,0,0,37,0
4,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,4,11,0,3,8,0,0,3,8,0
5,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,5,6,0,3,3,0,0,3,3,0
6,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,6,6,0,0,6,0,0,0,6,0
7,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,7,6,0,1,5,0,0,1,5,0
8,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,8,14,0,4,10,0,0,4,10,0
9,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,9,8,0,3,5,0,0,3,5,0
10,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,10,13,0,3,10,0,0,3,10,0
11,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,11,1,1,0,0,0,0,1,0,0
12,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,12,10,0,0,0,10,0,0,10,0
13,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,13,5,0,0,0,5,0,0,5,0
14,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,14,4,0,0,0,4,0,0,4,0
15,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,15,4,4,0,0,0,0,4,0,0
16,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,16,1,1,0,0,0,0,1,0,0
17,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,17,2,2,0,0,0,0,2,0,0
18,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,18,12,12,0,0,0,0,12,0,0
19,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,19,6,6,0,0,0,0,6,0,0
20,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,20,4,4,0,0,0,0,4,0,0
21,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,21,3,3,0,0,0,0,3,0,0
22,Shahbagh,23.72736443,90.38943744,২৮/২৯৪,19/07/2024,22,4,4,0,0,0,0,4,0,0
