id,date,rank,destination,status,rank_level,destination_cluster,attachment
1,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
2,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
3,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
4,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
5,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
6,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
7,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
8,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
9,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
10,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
11,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
12,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
13,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
14,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
15,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
16,"August 13, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
17,"August 27, 2024",Additional Commisioner,Industrial police,transferred,High,Specialized Operational Units,1
18,"August 27, 2024",Additional Commisioner,Tourist Police,transferred,High,Specialized Operational Units,1
19,"August 27, 2024",Additional Commisioner,APBn,transferred,High,Specialized Operational Units,1
20,"September 1, 2024",Additional Commisioner,APBn,transferred,High,Specialized Operational Units,1
21,"September 8, 2024",Joint Commissioner,Range Office,transferred,High,Central & Regional Administration,1
22,"September 19, 2024",Joint Commissioner,APBn,transferred,High,Specialized Operational Units,1
23,"September 19, 2024",Joint Commissioner,PTC,transferred,High,Training & Development,1
24,"September 19, 2024",Joint Commissioner,PTC,transferred,High,Training & Development,1
25,"September 19, 2024",Joint Commissioner,APBn,transferred,High,Specialized Operational Units,1
26,"November 11, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
27,"November 11, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
28,"November 11, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
29,"November 11, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
30,"November 11, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
31,"November 11, 2024",DC,Range Office,transferred,High,Central & Regional Administration,1
32,"March 23, 2025",DC,Range Office,transferred,High,Central & Regional Administration,1
33,"August 17, 2024",ADC,In service training centre,transferred,Low,Training & Development,0
34,"August 17, 2024",ADC,In service training centre,transferred,Low,Training & Development,0
35,"August 17, 2024",ADC,APBn,transferred,Low,Specialized Operational Units,0
